Farmer_ID,State,Crop,Irrigation_Type,Farmer_Scale,Crop_Damage_Pct,Advisory_Score,Insurance_Approval
F_1038,Jharkhand,Groundnut,Rain-fed,Large,56.62,57.79,0
F_1039,Andhra Pradesh,Jute,Irrigated,Small/Marginal,0.63,85.91,0
F_1040,Gujarat,Barley,Irrigated,Small/Marginal,6.19,87.99,0
F_1041,Bihar,Jute,Irrigated,Large,53.54,70.89,1
F_1042,Odisha,Millet,Irrigated,Large,56.61,60.28,1
F_1043,Maharashtra,Mustard,Rain-fed,Small/Marginal,75.15,42.64,0
F_1044,Odisha,Mustard,Irrigated,Large,13.2,55.75,0
F_1045,Bihar,Wheat,Rain-fed,Large,51.32,52.02,0
F_1046,Maharashtra,Barley,Rain-fed,Large,19.44,64.05,0
F_1047,Jharkhand,Gram,Irrigated,Small/Marginal,9.32,34.58,0
F_1048,Rajasthan,Sugarcane,Irrigated,Small/Marginal,41.05,75.42,1
F_1049,Punjab,Barley,Irrigated,Small/Marginal,16.33,73.36,0
F_1050,Bihar,Mustard,Rain-fed,Small/Marginal,22.18,36.36,0
F_1051,Uttar Pradesh,Millet,Rain-fed,Small/Marginal,31.76,66.76,0
F_1052,Maharashtra,Groundnut,Irrigated,Small/Marginal,25.94,63.78,0
F_1053,Assam,Wheat,Rain-fed,Small/Marginal,8.76,44.16,0
F_1054,Tamil Nadu,Sugarcane,Irrigated,Small/Marginal,8.99,63.06,0
F_1055,Chhattisgarh,Millet,Irrigated,Small/Marginal,19.32,51.17,0
F_1056,Rajasthan,Gram,Rain-fed,Large,5.06,65.37,0
F_1057,Madhya Pradesh,Tur,Rain-fed,Small/Marginal,62.65,69.04,1
F_1058,Assam,Gram,Rain-fed,Small/Marginal,28.73,60.74,0
F_1059,Bihar,Millet,Rain-fed,Large,27.97,50.71,0
F_1060,Tamil Nadu,Tur,Irrigated,Small/Marginal,33.2,54.34,0
F_1061,Rajasthan,Cotton,Rain-fed,Small/Marginal,66.28,60.69,0
F_1062,Gujarat,Wheat,Irrigated,Large,87.06,99.72,0
F_1063,Assam,Barley,Rain-fed,Small/Marginal,75.91,32.08,0
F_1064,Gujarat,Tur,Irrigated,Large,72.75,89.44,1
F_1065,Jharkhand,Moong,Rain-fed,Small/Marginal,48.44,5.94,0
F_1066,Chhattisgarh,Tur,Rain-fed,Small/Marginal,69.38,27.95,1
F_1067,Odisha,Rice,Rain-fed,Small/Marginal,55.28,35.87,0
F_1068,Punjab,Groundnut,Irrigated,Small/Marginal,21.63,61.2,0
F_1069,Maharashtra,Rice,Irrigated,Large,20.86,100.0,1
F_1070,Maharashtra,Barley,Irrigated,Small/Marginal,29.64,31.66,0
F_1071,Chhattisgarh,Barley,Rain-fed,Small/Marginal,91.08,32.12,1
F_1072,Punjab,Wheat,Rain-fed,Small/Marginal,54.74,51.52,0
F_1073,Jharkhand,Barley,Rain-fed,Small/Marginal,73.39,10.11,1
F_1074,Tamil Nadu,Mustard,Rain-fed,Small/Marginal,34.66,52.62,0
F_1075,Bihar,Tur,Rain-fed,Small/Marginal,40.77,16.61,0
F_1076,Gujarat,Tur,Irrigated,Small/Marginal,12.56,80.05,1
F_1077,Assam,Cotton,Irrigated,Small/Marginal,17.13,48.02,0
F_1078,Karnataka,Sugarcane,Irrigated,Small/Marginal,82.74,58.54,1
F_1079,Assam,Barley,Irrigated,Small/Marginal,58.48,29.03,0
F_1080,Bihar,Rice,Rain-fed,Small/Marginal,33.75,14.91,0
F_1081,Uttar Pradesh,Barley,Rain-fed,Large,80.29,54.36,1
F_1082,Odisha,Gram,Rain-fed,Small/Marginal,24.65,44.76,0
F_1083,Chhattisgarh,Cotton,Irrigated,Small/Marginal,97.6,50.91,1
F_1084,Andhra Pradesh,Mustard,Rain-fed,Small/Marginal,34.48,35.71,0
F_1085,Andhra Pradesh,Mustard,Rain-fed,Small/Marginal,33.73,68.11,0
F_1086,Gujarat,Jute,Rain-fed,Small/Marginal,31.19,49.29,0
F_1087,Jharkhand,Tur,Rain-fed,Small/Marginal,12.21,21.87,0
F_1088,Rajasthan,Mustard,Irrigated,Large,11.11,83.62,0
F_1089,Chhattisgarh,Tur,Irrigated,Small/Marginal,64.81,30.45,1
F_1090,Assam,Jute,Rain-fed,Large,87.51,58.35,0
F_1091,Bihar,Millet,Irrigated,Large,79.05,85.84,1
F_1092,Tamil Nadu,Groundnut,Irrigated,Small/Marginal,14.11,86.57,0
F_1093,Jharkhand,Soybean,Rain-fed,Small/Marginal,54.56,20.98,0
F_1094,Jharkhand,Mustard,Rain-fed,Small/Marginal,10.56,6.97,0
F_1095,Punjab,Sugarcane,Rain-fed,Small/Marginal,4.53,63.06,0
F_1096,Tamil Nadu,Gram,Rain-fed,Large,65.64,80.58,0
F_1097,Odisha,Maize,Irrigated,Small/Marginal,53.52,66.61,0
F_1098,Uttar Pradesh,Millet,Rain-fed,Small/Marginal,8.2,72.39,0
F_1099,Jharkhand,Mustard,Irrigated,Large,3.49,70.71,0
F_1100,West Bengal,Tur,Rain-fed,Small/Marginal,98.98,81.79,1
F_1101,Uttar Pradesh,Groundnut,Rain-fed,Small/Marginal,3.0,59.46,0
F_1102,Rajasthan,Jute,Rain-fed,Small/Marginal,44.45,51.65,0
F_1103,Andhra Pradesh,Rice,Rain-fed,Small/Marginal,50.46,26.99,0
F_1104,Odisha,Maize,Rain-fed,Large,11.73,40.74,0
F_1105,Gujarat,Groundnut,Irrigated,Small/Marginal,16.91,67.32,0
F_1106,Rajasthan,Groundnut,Rain-fed,Small/Marginal,35.18,50.29,0
F_1107,Jharkhand,Mustard,Irrigated,Small/Marginal,76.17,51.3,1
F_1108,Assam,Millet,Rain-fed,Small/Marginal,50.71,21.83,0
F_1109,Gujarat,Moong,Rain-fed,Small/Marginal,63.79,68.97,0
F_1110,Andhra Pradesh,Maize,Rain-fed,Small/Marginal,98.52,61.64,1
F_1111,West Bengal,Wheat,Rain-fed,Small/Marginal,76.8,69.95,0
F_1112,Karnataka,Soybean,Rain-fed,Large,43.44,100.0,1
F_1113,Chhattisgarh,Wheat,Rain-fed,Small/Marginal,44.64,31.68,0
F_1114,Odisha,Moong,Rain-fed,Small/Marginal,61.88,47.12,0
F_1115,Uttar Pradesh,Tur,Rain-fed,Small/Marginal,66.54,48.37,0
F_1116,Jharkhand,Tur,Rain-fed,Large,50.07,49.19,0
F_1117,Maharashtra,Gram,Rain-fed,Small/Marginal,64.49,52.78,0
F_1118,West Bengal,Maize,Irrigated,Small/Marginal,2.35,90.07,0
F_1119,Chhattisgarh,Wheat,Irrigated,Large,42.96,55.54,1
F_1120,Odisha,Tur,Rain-fed,Small/Marginal,27.89,31.67,0
F_1121,Chhattisgarh,Moong,Rain-fed,Small/Marginal,12.92,35.66,0
F_1122,Assam,Mustard,Irrigated,Small/Marginal,9.95,39.74,0
F_1123,Jharkhand,Cotton,Irrigated,Small/Marginal,60.32,25.86,0
F_1124,Karnataka,Jute,Rain-fed,Large,52.36,87.73,1
F_1125,Punjab,Cotton,Irrigated,Small/Marginal,25.36,43.84,0
F_1126,Chhattisgarh,Barley,Rain-fed,Small/Marginal,47.1,50.88,1
F_1127,Chhattisgarh,Wheat,Rain-fed,Large,49.22,59.89,0
F_1128,Odisha,Gram,Irrigated,Small/Marginal,19.5,58.44,0
F_1129,Rajasthan,Barley,Rain-fed,Small/Marginal,65.21,55.32,0
F_1130,Madhya Pradesh,Tur,Irrigated,Small/Marginal,78.09,84.59,1
F_1131,Andhra Pradesh,Rice,Irrigated,Small/Marginal,79.15,71.77,1
F_1132,Jharkhand,Sugarcane,Rain-fed,Small/Marginal,60.25,34.87,1
F_1133,Jharkhand,Rice,Rain-fed,Small/Marginal,51.16,28.11,0
F_1134,Odisha,Moong,Rain-fed,Small/Marginal,6.1,48.49,0
F_1135,Jharkhand,Maize,Rain-fed,Small/Marginal,28.78,35.05,0
F_1136,Rajasthan,Groundnut,Irrigated,Large,9.33,82.63,0
F_1137,Maharashtra,Jute,Rain-fed,Small/Marginal,96.38,75.0,1
F_1138,Haryana,Wheat,Rain-fed,Small/Marginal,13.51,82.35,0
F_1139,Jharkhand,Gram,Irrigated,Small/Marginal,15.18,41.43,0
F_1140,Jharkhand,Gram,Rain-fed,Small/Marginal,88.96,47.07,1
F_1141,Andhra Pradesh,Moong,Irrigated,Small/Marginal,94.39,61.13,0
F_1142,Tamil Nadu,Millet,Rain-fed,Small/Marginal,76.58,65.65,1
F_1143,Odisha,Tur,Irrigated,Small/Marginal,0.54,72.27,0
F_1144,Assam,Sugarcane,Rain-fed,Large,0.13,83.93,0
F_1145,Jharkhand,Soybean,Rain-fed,Small/Marginal,37.81,35.24,0
F_1146,Assam,Soybean,Rain-fed,Large,14.34,61.71,0
F_1147,Maharashtra,Soybean,Rain-fed,Small/Marginal,1.84,50.38,0
F_1148,Punjab,Wheat,Irrigated,Large,46.41,87.24,1
F_1149,Chhattisgarh,Soybean,Irrigated,Small/Marginal,94.31,40.53,1
F_1150,Karnataka,Mustard,Irrigated,Large,32.38,82.36,0
F_1151,Andhra Pradesh,Cotton,Rain-fed,Small/Marginal,66.11,60.79,1
F_1152,Rajasthan,Gram,Rain-fed,Small/Marginal,65.22,54.06,0
F_1153,Uttar Pradesh,Sugarcane,Rain-fed,Small/Marginal,25.11,52.34,0
F_1154,Rajasthan,Cotton,Rain-fed,Small/Marginal,65.04,73.96,0
F_1155,Gujarat,Groundnut,Irrigated,Small/Marginal,21.23,55.05,1
F_1156,Haryana,Sugarcane,Rain-fed,Small/Marginal,12.2,46.66,0
F_1157,Chhattisgarh,Cotton,Rain-fed,Small/Marginal,70.14,23.82,0
F_1158,Jharkhand,Sugarcane,Rain-fed,Small/Marginal,11.34,48.26,0
F_1159,Bihar,Groundnut,Irrigated,Small/Marginal,99.69,45.68,1
F_1160,Uttar Pradesh,Barley,Irrigated,Small/Marginal,18.35,82.85,0
F_1161,Assam,Mustard,Irrigated,Large,59.41,75.33,1
F_1162,Maharashtra,Wheat,Rain-fed,Small/Marginal,41.14,58.24,0
F_1163,Bihar,Wheat,Rain-fed,Large,12.64,63.64,0
F_1164,Bihar,Moong,Irrigated,Small/Marginal,2.78,53.06,0
F_1165,Odisha,Tur,Irrigated,Large,62.27,46.44,1
F_1166,Madhya Pradesh,Gram,Rain-fed,Large,80.68,96.58,1
F_1167,Andhra Pradesh,Soybean,Irrigated,Small/Marginal,84.2,100.0,1
F_1168,West Bengal,Mustard,Irrigated,Small/Marginal,48.27,62.74,1
F_1169,Chhattisgarh,Rice,Irrigated,Small/Marginal,77.75,58.85,1
F_1170,Jharkhand,Soybean,Irrigated,Large,67.28,61.85,1
F_1171,Tamil Nadu,Tur,Rain-fed,Small/Marginal,72.43,43.57,0
F_1172,Bihar,Gram,Rain-fed,Small/Marginal,49.26,36.19,0
F_1173,Chhattisgarh,Maize,Rain-fed,Small/Marginal,63.34,20.96,1
F_1174,Odisha,Tur,Irrigated,Large,80.55,71.28,1
F_1175,Assam,Mustard,Irrigated,Large,39.79,93.92,0
F_1176,Maharashtra,Cotton,Irrigated,Large,80.6,100.0,1
F_1177,Madhya Pradesh,Sugarcane,Rain-fed,Small/Marginal,59.2,63.88,0
F_1178,Bihar,Rice,Irrigated,Small/Marginal,16.59,39.69,0
F_1179,Andhra Pradesh,Mustard,Irrigated,Small/Marginal,2.47,85.61,0
F_1180,Tamil Nadu,Groundnut,Irrigated,Small/Marginal,36.28,74.95,0
F_1181,Jharkhand,Maize,Irrigated,Small/Marginal,54.67,44.92,0
F_1182,Rajasthan,Groundnut,Irrigated,Small/Marginal,83.98,84.39,1
F_1183,Andhra Pradesh,Wheat,Rain-fed,Small/Marginal,12.75,63.56,0
F_1184,Jharkhand,Moong,Rain-fed,Small/Marginal,80.02,32.69,0
F_1185,Odisha,Wheat,Rain-fed,Large,86.3,61.64,1
F_1186,Assam,Tur,Rain-fed,Small/Marginal,15.07,7.22,0
F_1187,Madhya Pradesh,Soybean,Irrigated,Large,85.16,93.66,1
F_1188,Jharkhand,Cotton,Irrigated,Small/Marginal,99.15,48.84,1
F_1189,Assam,Rice,Rain-fed,Small/Marginal,72.68,22.69,1
F_1190,Assam,Tur,Rain-fed,Small/Marginal,78.48,12.87,1
F_1191,Rajasthan,Jute,Irrigated,Small/Marginal,99.44,70.43,1
F_1192,West Bengal,Maize,Rain-fed,Small/Marginal,60.55,33.5,0
F_1193,Odisha,Maize,Rain-fed,Small/Marginal,30.79,0.0,0
F_1194,Jharkhand,Tur,Rain-fed,Small/Marginal,83.75,10.0,0
F_1195,Andhra Pradesh,Tur,Rain-fed,Small/Marginal,61.45,42.82,0
F_1196,Bihar,Mustard,Rain-fed,Small/Marginal,58.12,13.6,0
F_1197,West Bengal,Soybean,Rain-fed,Large,25.36,87.47,0
F_1198,Maharashtra,Wheat,Rain-fed,Large,75.63,70.73,0
F_1199,West Bengal,Moong,Irrigated,Small/Marginal,8.17,62.15,0
F_1200,Bihar,Soybean,Rain-fed,Small/Marginal,92.43,47.1,0
F_1201,Assam,Sugarcane,Irrigated,Large,32.58,100.0,0
F_1202,Bihar,Mustard,Rain-fed,Large,12.78,82.21,0
F_1203,Andhra Pradesh,Mustard,Rain-fed,Small/Marginal,44.24,27.99,0
F_1204,Gujarat,Rice,Irrigated,Large,4.25,100.0,0
F_1205,Chhattisgarh,Cotton,Rain-fed,Small/Marginal,68.46,32.21,0
F_1206,Assam,Moong,Rain-fed,Large,90.27,48.23,1
F_1207,Assam,Gram,Rain-fed,Large,83.73,81.21,1
F_1208,Jharkhand,Barley,Irrigated,Small/Marginal,12.74,51.09,0
F_1209,Chhattisgarh,Gram,Rain-fed,Small/Marginal,12.63,27.12,0
F_1210,Madhya Pradesh,Tur,Rain-fed,Large,81.34,78.84,1
F_1211,Uttar Pradesh,Millet,Irrigated,Small/Marginal,92.43,60.38,1
F_1212,Assam,Millet,Rain-fed,Small/Marginal,46.07,11.49,0
F_1213,Odisha,Mustard,Irrigated,Large,49.9,67.53,0
F_1214,Punjab,Soybean,Irrigated,Small/Marginal,31.83,79.07,0
F_1215,Madhya Pradesh,Sugarcane,Irrigated,Small/Marginal,89.43,65.5,1
F_1216,Odisha,Rice,Rain-fed,Small/Marginal,64.49,29.99,0
F_1217,Chhattisgarh,Jute,Irrigated,Small/Marginal,28.83,36.48,0
F_1218,Tamil Nadu,Millet,Rain-fed,Small/Marginal,29.88,45.82,0
F_1219,Tamil Nadu,Rice,Rain-fed,Small/Marginal,89.12,66.35,1
F_1220,Chhattisgarh,Mustard,Rain-fed,Small/Marginal,1.36,29.96,0
F_1221,Rajasthan,Cotton,Irrigated,Small/Marginal,32.27,86.74,0
F_1222,Madhya Pradesh,Groundnut,Rain-fed,Small/Marginal,55.44,50.78,0
F_1223,Karnataka,Gram,Rain-fed,Small/Marginal,14.82,52.03,0
F_1224,Jharkhand,Sugarcane,Rain-fed,Small/Marginal,9.21,60.95,0
F_1225,Gujarat,Wheat,Irrigated,Small/Marginal,81.53,74.49,0
F_1226,Assam,Tur,Irrigated,Small/Marginal,89.44,29.25,0
F_1227,Madhya Pradesh,Rice,Irrigated,Small/Marginal,82.36,67.27,1
F_1228,Assam,Cotton,Rain-fed,Small/Marginal,89.88,44.94,0
F_1229,Maharashtra,Jute,Rain-fed,Large,55.31,57.35,1
F_1230,Chhattisgarh,Barley,Irrigated,Small/Marginal,81.23,62.53,0
F_1231,Karnataka,Gram,Rain-fed,Small/Marginal,38.4,48.81,0
F_1232,Andhra Pradesh,Wheat,Rain-fed,Small/Marginal,66.63,96.49,1
F_1233,West Bengal,Gram,Irrigated,Small/Marginal,98.88,74.02,1
F_1234,Jharkhand,Mustard,Irrigated,Small/Marginal,22.57,41.43,0
F_1235,Madhya Pradesh,Barley,Irrigated,Small/Marginal,38.99,51.38,1
F_1236,Rajasthan,Gram,Irrigated,Small/Marginal,48.0,94.86,1
F_1237,Bihar,Moong,Irrigated,Small/Marginal,13.8,61.58,0
F_1238,Punjab,Jute,Rain-fed,Small/Marginal,8.1,48.06,0
F_1239,Assam,Cotton,Rain-fed,Small/Marginal,82.97,9.12,0
F_1240,Uttar Pradesh,Tur,Irrigated,Small/Marginal,97.68,74.09,1
F_1241,Jharkhand,Millet,Rain-fed,Small/Marginal,40.47,20.78,0
F_1242,West Bengal,Barley,Irrigated,Small/Marginal,8.76,45.2,0
F_1243,Tamil Nadu,Mustard,Rain-fed,Small/Marginal,6.58,58.97,0
F_1244,Assam,Moong,Rain-fed,Small/Marginal,89.13,9.55,0
F_1245,Chhattisgarh,Wheat,Irrigated,Small/Marginal,46.38,51.29,0
F_1246,Rajasthan,Soybean,Irrigated,Small/Marginal,32.0,88.05,1
F_1247,Rajasthan,Maize,Irrigated,Small/Marginal,47.65,75.15,0
F_1248,Assam,Rice,Rain-fed,Small/Marginal,31.83,19.59,0
F_1249,Haryana,Tur,Irrigated,Small/Marginal,48.9,47.05,0
F_1250,Chhattisgarh,Gram,Rain-fed,Small/Marginal,85.96,45.58,1
F_1251,Jharkhand,Millet,Rain-fed,Large,59.23,62.96,1
F_1252,Jharkhand,Barley,Rain-fed,Small/Marginal,69.47,24.91,0
F_1253,Madhya Pradesh,Gram,Rain-fed,Large,36.47,77.78,1
F_1254,Chhattisgarh,Groundnut,Rain-fed,Small/Marginal,73.85,36.44,1
F_1255,Maharashtra,Rice,Irrigated,Small/Marginal,66.66,59.25,0
F_1256,Bihar,Soybean,Irrigated,Small/Marginal,11.96,61.5,0
F_1257,Assam,Moong,Irrigated,Small/Marginal,57.26,44.73,0
F_1258,Haryana,Jute,Rain-fed,Small/Marginal,25.67,38.86,0
F_1259,Jharkhand,Moong,Irrigated,Large,80.41,73.24,1
F_1260,Andhra Pradesh,Moong,Irrigated,Small/Marginal,42.59,98.94,0
F_1261,Chhattisgarh,Maize,Irrigated,Large,99.47,60.92,1
F_1262,Jharkhand,Cotton,Rain-fed,Small/Marginal,9.25,26.51,0
F_1263,Chhattisgarh,Moong,Rain-fed,Small/Marginal,78.03,30.96,0
F_1264,Chhattisgarh,Gram,Rain-fed,Small/Marginal,67.37,54.37,0
F_1265,Bihar,Soybean,Rain-fed,Small/Marginal,76.75,49.54,0
F_1266,Odisha,Soybean,Rain-fed,Small/Marginal,30.75,46.63,0
F_1267,Andhra Pradesh,Jute,Irrigated,Small/Marginal,49.21,82.07,1
F_1268,Rajasthan,Sugarcane,Rain-fed,Small/Marginal,79.65,49.05,1
F_1269,Chhattisgarh,Jute,Rain-fed,Small/Marginal,23.25,11.3,0
F_1270,Maharashtra,Gram,Rain-fed,Small/Marginal,22.6,56.08,0
F_1271,Jharkhand,Sugarcane,Rain-fed,Large,55.11,39.02,0
F_1272,Gujarat,Sugarcane,Rain-fed,Small/Marginal,52.36,54.06,0
F_1273,Haryana,Millet,Rain-fed,Large,28.23,87.36,1
F_1274,Punjab,Millet,Rain-fed,Large,29.81,94.72,1
F_1275,Karnataka,Wheat,Irrigated,Large,27.78,100.0,0
F_1276,Jharkhand,Barley,Irrigated,Small/Marginal,77.15,59.76,1
F_1277,Haryana,Barley,Rain-fed,Small/Marginal,65.19,38.54,1
F_1278,Maharashtra,Mustard,Rain-fed,Large,83.24,69.61,1
F_1279,Haryana,Tur,Irrigated,Small/Marginal,97.55,72.94,1
F_1280,West Bengal,Cotton,Rain-fed,Small/Marginal,47.42,69.73,0
F_1281,Punjab,Barley,Rain-fed,Small/Marginal,6.67,30.31,0
F_1282,Gujarat,Millet,Irrigated,Small/Marginal,4.81,73.1,0
F_1283,Uttar Pradesh,Wheat,Rain-fed,Small/Marginal,29.57,46.7,0
F_1284,Andhra Pradesh,Moong,Irrigated,Small/Marginal,93.25,79.71,1
F_1285,Chhattisgarh,Wheat,Rain-fed,Large,52.32,54.94,0
F_1286,Odisha,Moong,Rain-fed,Small/Marginal,27.18,22.86,0
F_1287,Assam,Sugarcane,Rain-fed,Large,39.92,53.96,0
F_1288,Bihar,Mustard,Irrigated,Small/Marginal,59.86,54.84,0
F_1289,West Bengal,Tur,Rain-fed,Small/Marginal,65.29,65.35,0
F_1290,Jharkhand,Jute,Rain-fed,Small/Marginal,15.39,29.65,0
F_1291,Punjab,Cotton,Irrigated,Small/Marginal,97.7,60.5,0
F_1292,Chhattisgarh,Gram,Rain-fed,Large,54.48,64.97,0
F_1293,Rajasthan,Sugarcane,Rain-fed,Small/Marginal,13.57,43.53,0
F_1294,Chhattisgarh,Jute,Irrigated,Small/Marginal,89.36,16.81,0
F_1295,Bihar,Barley,Rain-fed,Small/Marginal,7.46,43.96,0
F_1296,Jharkhand,Mustard,Irrigated,Small/Marginal,90.77,20.02,0
F_1297,Assam,Sugarcane,Irrigated,Small/Marginal,99.66,40.63,1
F_1298,Uttar Pradesh,Rice,Irrigated,Small/Marginal,70.04,50.12,1
F_1299,Bihar,Barley,Rain-fed,Small/Marginal,77.04,38.16,1
F_1300,Jharkhand,Jute,Irrigated,Large,33.73,71.39,0
F_1301,Maharashtra,Cotton,Rain-fed,Small/Marginal,94.16,34.34,1
F_1302,Andhra Pradesh,Gram,Irrigated,Small/Marginal,52.97,62.05,0
F_1303,Odisha,Jute,Rain-fed,Small/Marginal,73.24,45.39,0
F_1304,Odisha,Moong,Rain-fed,Large,92.41,40.29,1
F_1305,Assam,Sugarcane,Rain-fed,Small/Marginal,97.52,30.5,0
F_1306,Tamil Nadu,Sugarcane,Irrigated,Small/Marginal,83.32,80.84,1
F_1307,Punjab,Gram,Irrigated,Small/Marginal,30.3,77.45,0
F_1308,Maharashtra,Soybean,Rain-fed,Large,96.65,70.56,1
F_1309,Maharashtra,Cotton,Rain-fed,Small/Marginal,62.81,47.59,0
F_1310,Tamil Nadu,Groundnut,Irrigated,Large,93.06,84.25,1
F_1311,Jharkhand,Barley,Rain-fed,Small/Marginal,67.61,19.67,0
F_1312,Odisha,Wheat,Rain-fed,Small/Marginal,30.72,36.34,0
F_1313,Haryana,Gram,Irrigated,Large,37.0,53.39,1
F_1314,Maharashtra,Cotton,Rain-fed,Small/Marginal,55.05,39.23,0
F_1315,Andhra Pradesh,Wheat,Irrigated,Large,79.0,87.12,1
F_1316,Haryana,Cotton,Rain-fed,Large,31.8,64.04,0
F_1317,Assam,Cotton,Rain-fed,Large,57.97,65.83,1
F_1318,Uttar Pradesh,Jute,Rain-fed,Small/Marginal,34.56,41.46,0
F_1319,Jharkhand,Tur,Irrigated,Large,81.58,58.98,1
F_1320,Odisha,Moong,Rain-fed,Small/Marginal,46.67,20.82,0
F_1321,Odisha,Cotton,Irrigated,Large,7.67,25.96,0
F_1322,Assam,Tur,Rain-fed,Small/Marginal,16.61,16.72,0
F_1323,Karnataka,Soybean,Irrigated,Large,6.11,97.43,1
F_1324,Madhya Pradesh,Groundnut,Rain-fed,Small/Marginal,49.93,47.82,1
F_1325,Karnataka,Sugarcane,Rain-fed,Small/Marginal,10.63,89.4,0
F_1326,Maharashtra,Maize,Irrigated,Small/Marginal,11.41,49.97,0
F_1327,Tamil Nadu,Wheat,Rain-fed,Large,94.1,63.65,1
F_1328,Haryana,Sugarcane,Rain-fed,Small/Marginal,87.27,49.15,1
F_1329,Rajasthan,Maize,Irrigated,Small/Marginal,45.21,42.27,1
F_1330,Odisha,Groundnut,Rain-fed,Large,98.58,52.49,1
F_1331,Odisha,Moong,Irrigated,Small/Marginal,0.02,47.84,0
F_1332,Chhattisgarh,Groundnut,Rain-fed,Small/Marginal,61.4,27.71,0
F_1333,Odisha,Wheat,Irrigated,Small/Marginal,61.64,33.75,0
F_1334,Odisha,Wheat,Rain-fed,Small/Marginal,45.74,31.47,0
F_1335,Chhattisgarh,Groundnut,Rain-fed,Small/Marginal,39.69,27.74,1
F_1336,Assam,Maize,Irrigated,Small/Marginal,45.54,37.39,1
F_1337,Odisha,Gram,Irrigated,Small/Marginal,41.5,42.3,0
F_1338,Punjab,Cotton,Rain-fed,Small/Marginal,73.05,64.82,0
F_1339,Bihar,Barley,Rain-fed,Small/Marginal,13.54,20.01,0
F_1340,Bihar,Mustard,Irrigated,Small/Marginal,19.76,41.99,0
F_1341,Chhattisgarh,Tur,Rain-fed,Small/Marginal,18.05,17.81,0
F_1342,Uttar Pradesh,Rice,Irrigated,Large,26.25,100.0,1
F_1343,Karnataka,Mustard,Irrigated,Small/Marginal,52.53,74.13,1
F_1344,Haryana,Sugarcane,Rain-fed,Small/Marginal,11.12,73.94,0
F_1345,Assam,Jute,Rain-fed,Large,86.82,68.15,1
F_1346,West Bengal,Sugarcane,Irrigated,Large,29.74,92.48,1
F_1347,Jharkhand,Jute,Rain-fed,Small/Marginal,16.25,0.99,0
F_1348,Punjab,Maize,Rain-fed,Small/Marginal,67.56,55.0,0
